ID	IRI
NCIT:C14240	http://purl.obolibrary.org/obo/NCIT_C14240
NCIT:C179817	http://purl.obolibrary.org/obo/NCIT_C179817
NCIT:C201530	http://purl.obolibrary.org/obo/NCIT_C201530
NCIT:C25167	http://purl.obolibrary.org/obo/NCIT_C25167
NCIT:C25285	http://purl.obolibrary.org/obo/NCIT_C25285
NCIT:C25335	http://purl.obolibrary.org/obo/NCIT_C25335
NCIT:C25364	http://purl.obolibrary.org/obo/NCIT_C25364
NCIT:C25365	http://purl.obolibrary.org/obo/NCIT_C25365
NCIT:C32221	http://purl.obolibrary.org/obo/NCIT_C32221
NCIT:C43578	http://purl.obolibrary.org/obo/NCIT_C43578
NCIT:C44477	http://purl.obolibrary.org/obo/NCIT_C44477
NCIT:C44478	http://purl.obolibrary.org/obo/NCIT_C44478
NCIT:C48179	http://purl.obolibrary.org/obo/NCIT_C48179
NCIT:C54086	http://purl.obolibrary.org/obo/NCIT_C54086
NCIT:C54100	http://purl.obolibrary.org/obo/NCIT_C54100
NCIT:C54154	http://purl.obolibrary.org/obo/NCIT_C54154
NCIT:C63921	http://purl.obolibrary.org/obo/NCIT_C63921
NCIT:C69244	http://purl.obolibrary.org/obo/NCIT_C69244
NCIT:C85776	http://purl.obolibrary.org/obo/NCIT_C85776
NCIT:C85845	http://purl.obolibrary.org/obo/NCIT_C85845
NCIT:C88206	http://purl.obolibrary.org/obo/NCIT_C88206
NCIT:C90380	http://purl.obolibrary.org/obo/NCIT_C90380
NCIT:C91063	http://purl.obolibrary.org/obo/NCIT_C91063
NCIT:C93399	http://purl.obolibrary.org/obo/NCIT_C93399
UBERON:0000033	http://purl.obolibrary.org/obo/UBERON_0000033
UBERON:0000061	http://purl.obolibrary.org/obo/UBERON_0000061
UBERON:0001880	http://purl.obolibrary.org/obo/UBERON_0001880
UBERON:0001885	http://purl.obolibrary.org/obo/UBERON_0001885
UBERON:0002100	http://purl.obolibrary.org/obo/UBERON_0002100
UBERON:0002415	http://purl.obolibrary.org/obo/UBERON_0002415
UBERON:0003881	http://purl.obolibrary.org/obo/UBERON_0003881
UBERON:0003883	http://purl.obolibrary.org/obo/UBERON_0003883
obo:EMPTY_00000085	http://purl.obolibrary.org/obo/EMPTY_00000085
obo:EMPTY_00000090	http://purl.obolibrary.org/obo/EMPTY_00000090
obo:EMPTY_00000091	http://purl.obolibrary.org/obo/EMPTY_00000091
obo:EMPTY_00000092	http://purl.obolibrary.org/obo/EMPTY_00000092
obo:EMPTY_00000094	http://purl.obolibrary.org/obo/EMPTY_00000094
obo:EMPTY_00000100	http://purl.obolibrary.org/obo/EMPTY_00000100
obo:EMPTY_00000101	http://purl.obolibrary.org/obo/EMPTY_00000101
obo:EMPTY_00000102	http://purl.obolibrary.org/obo/EMPTY_00000102
obo:EMPTY_00000103	http://purl.obolibrary.org/obo/EMPTY_00000103
obo:EMPTY_00000104	http://purl.obolibrary.org/obo/EMPTY_00000104
obo:EMPTY_00000105	http://purl.obolibrary.org/obo/EMPTY_00000105
obo:EMPTY_00000106	http://purl.obolibrary.org/obo/EMPTY_00000106
obo:EMPTY_00000107	http://purl.obolibrary.org/obo/EMPTY_00000107
obo:EMPTY_00000108	http://purl.obolibrary.org/obo/EMPTY_00000108
obo:EMPTY_00000109	http://purl.obolibrary.org/obo/EMPTY_00000109
obo:EMPTY_00000110	http://purl.obolibrary.org/obo/EMPTY_00000110
obo:EMPTY_00000111	http://purl.obolibrary.org/obo/EMPTY_00000111
obo:EMPTY_00000112	http://purl.obolibrary.org/obo/EMPTY_00000112
obo:EMPTY_00000113	http://purl.obolibrary.org/obo/EMPTY_00000113
obo:EMPTY_00000114	http://purl.obolibrary.org/obo/EMPTY_00000114
obo:EMPTY_00000115	http://purl.obolibrary.org/obo/EMPTY_00000115
obo:EMPTY_00000116	http://purl.obolibrary.org/obo/EMPTY_00000116
obo:EMPTY_00000117	http://purl.obolibrary.org/obo/EMPTY_00000117
obo:EMPTY_00000118	http://purl.obolibrary.org/obo/EMPTY_00000118
obo:EMPTY_00000119	http://purl.obolibrary.org/obo/EMPTY_00000119
obo:EMPTY_00000120	http://purl.obolibrary.org/obo/EMPTY_00000120
obo:EMPTY_00000121	http://purl.obolibrary.org/obo/EMPTY_00000121
obo:EMPTY_00000122	http://purl.obolibrary.org/obo/EMPTY_00000122
obo:EMPTY_00000123	http://purl.obolibrary.org/obo/EMPTY_00000123
