Old IRI	New IRI
http://purl.obolibrary.org/obo/EMPTY_00000085	http://purl.obolibrary.org/obo/EMPTY_0000001
http://purl.obolibrary.org/obo/EMPTY_00000090	http://purl.obolibrary.org/obo/EMPTY_0000002
http://purl.obolibrary.org/obo/EMPTY_00000091	http://purl.obolibrary.org/obo/EMPTY_0000003
http://purl.obolibrary.org/obo/EMPTY_00000092	http://purl.obolibrary.org/obo/EMPTY_0000004
http://purl.obolibrary.org/obo/EMPTY_00000094	http://purl.obolibrary.org/obo/EMPTY_0000005
http://purl.obolibrary.org/obo/EMPTY_00000100	http://purl.obolibrary.org/obo/EMPTY_0000006
http://purl.obolibrary.org/obo/EMPTY_00000101	http://purl.obolibrary.org/obo/EMPTY_0000007
http://purl.obolibrary.org/obo/EMPTY_00000102	http://purl.obolibrary.org/obo/EMPTY_0000008
http://purl.obolibrary.org/obo/EMPTY_00000103	http://purl.obolibrary.org/obo/EMPTY_0000009
http://purl.obolibrary.org/obo/EMPTY_00000104	http://purl.obolibrary.org/obo/EMPTY_0000010
http://purl.obolibrary.org/obo/EMPTY_00000105	http://purl.obolibrary.org/obo/EMPTY_0000011
http://purl.obolibrary.org/obo/EMPTY_00000106	http://purl.obolibrary.org/obo/EMPTY_0000012
http://purl.obolibrary.org/obo/EMPTY_00000107	http://purl.obolibrary.org/obo/EMPTY_0000013
http://purl.obolibrary.org/obo/EMPTY_00000108	http://purl.obolibrary.org/obo/EMPTY_0000014
http://purl.obolibrary.org/obo/EMPTY_00000109	http://purl.obolibrary.org/obo/EMPTY_0000015
http://purl.obolibrary.org/obo/EMPTY_00000110	http://purl.obolibrary.org/obo/EMPTY_0000016
http://purl.obolibrary.org/obo/EMPTY_00000111	http://purl.obolibrary.org/obo/EMPTY_0000017
http://purl.obolibrary.org/obo/EMPTY_00000112	http://purl.obolibrary.org/obo/EMPTY_0000018
http://purl.obolibrary.org/obo/EMPTY_00000113	http://purl.obolibrary.org/obo/EMPTY_0000019
http://purl.obolibrary.org/obo/EMPTY_00000114	http://purl.obolibrary.org/obo/EMPTY_0000020
http://purl.obolibrary.org/obo/EMPTY_00000115	http://purl.obolibrary.org/obo/EMPTY_0000021
http://purl.obolibrary.org/obo/EMPTY_00000116	http://purl.obolibrary.org/obo/EMPTY_0000022
http://purl.obolibrary.org/obo/EMPTY_00000117	http://purl.obolibrary.org/obo/EMPTY_0000023
http://purl.obolibrary.org/obo/EMPTY_00000118	http://purl.obolibrary.org/obo/EMPTY_0000024
http://purl.obolibrary.org/obo/EMPTY_00000119	http://purl.obolibrary.org/obo/EMPTY_0000025
http://purl.obolibrary.org/obo/EMPTY_00000120	http://purl.obolibrary.org/obo/EMPTY_0000026
http://purl.obolibrary.org/obo/EMPTY_00000121	http://purl.obolibrary.org/obo/EMPTY_0000027
http://purl.obolibrary.org/obo/EMPTY_00000122	http://purl.obolibrary.org/obo/EMPTY_0000028
http://purl.obolibrary.org/obo/EMPTY_00000123	http://purl.obolibrary.org/obo/EMPTY_0000029
http://purl.obolibrary.org/obo/EMPTY_00000124	http://purl.obolibrary.org/obo/EMPTY_0000030
http://purl.obolibrary.org/obo/EMPTY_00000125	http://purl.obolibrary.org/obo/EMPTY_0000031
http://purl.obolibrary.org/obo/EMPTY_00000126	http://purl.obolibrary.org/obo/EMPTY_0000032
http://purl.obolibrary.org/obo/EMPTY_00000127	http://purl.obolibrary.org/obo/EMPTY_0000033
http://purl.obolibrary.org/obo/EMPTY_00000128	http://purl.obolibrary.org/obo/EMPTY_0000034
http://purl.obolibrary.org/obo/EMPTY_00000129	http://purl.obolibrary.org/obo/EMPTY_0000035
http://purl.obolibrary.org/obo/EMPTY_00000130	http://purl.obolibrary.org/obo/EMPTY_0000036
http://purl.obolibrary.org/obo/EMPTY_00000131	http://purl.obolibrary.org/obo/EMPTY_0000037
http://purl.obolibrary.org/obo/EMPTY_00000132	http://purl.obolibrary.org/obo/EMPTY_0000038
http://purl.obolibrary.org/obo/EMPTY_00000133	http://purl.obolibrary.org/obo/EMPTY_0000039
http://purl.obolibrary.org/obo/EMPTY_00000134	http://purl.obolibrary.org/obo/EMPTY_0000040
http://purl.obolibrary.org/obo/EMPTY_00000135	http://purl.obolibrary.org/obo/EMPTY_0000041
http://purl.obolibrary.org/obo/EMPTY_00000136	http://purl.obolibrary.org/obo/EMPTY_0000042
http://purl.obolibrary.org/obo/EMPTY_00000137	http://purl.obolibrary.org/obo/EMPTY_0000043
http://purl.obolibrary.org/obo/EMPTY_00000138	http://purl.obolibrary.org/obo/EMPTY_0000044
http://purl.obolibrary.org/obo/EMPTY_00000139	http://purl.obolibrary.org/obo/EMPTY_0000045
http://purl.obolibrary.org/obo/EMPTY_00000140	http://purl.obolibrary.org/obo/EMPTY_0000046
http://purl.obolibrary.org/obo/EMPTY_00000141	http://purl.obolibrary.org/obo/EMPTY_0000047
http://purl.obolibrary.org/obo/EMPTY_00000142	http://purl.obolibrary.org/obo/EMPTY_0000048
http://purl.obolibrary.org/obo/EMPTY_00000143	http://purl.obolibrary.org/obo/EMPTY_0000049
http://purl.obolibrary.org/obo/EMPTY_00000144	http://purl.obolibrary.org/obo/EMPTY_0000050
http://purl.obolibrary.org/obo/EMPTY_00000145	http://purl.obolibrary.org/obo/EMPTY_0000051
http://purl.obolibrary.org/obo/EMPTY_00000146	http://purl.obolibrary.org/obo/EMPTY_0000052
http://purl.obolibrary.org/obo/EMPTY_00000148	http://purl.obolibrary.org/obo/EMPTY_0000053
http://purl.obolibrary.org/obo/EMPTY_00000149	http://purl.obolibrary.org/obo/EMPTY_0000054
http://purl.obolibrary.org/obo/EMPTY_00000150	http://purl.obolibrary.org/obo/EMPTY_0000055
http://purl.obolibrary.org/obo/EMPTY_00000151	http://purl.obolibrary.org/obo/EMPTY_0000056
http://purl.obolibrary.org/obo/EMPTY_00000153	http://purl.obolibrary.org/obo/EMPTY_0000057
http://purl.obolibrary.org/obo/EMPTY_00000154	http://purl.obolibrary.org/obo/EMPTY_0000058
http://purl.obolibrary.org/obo/EMPTY_00000155	http://purl.obolibrary.org/obo/EMPTY_0000059
http://purl.obolibrary.org/obo/EMPTY_00000156	http://purl.obolibrary.org/obo/EMPTY_0000060
http://purl.obolibrary.org/obo/EMPTY_00000157	http://purl.obolibrary.org/obo/EMPTY_0000061
http://purl.obolibrary.org/obo/EMPTY_00000158	http://purl.obolibrary.org/obo/EMPTY_0000062
http://purl.obolibrary.org/obo/EMPTY_00000159	http://purl.obolibrary.org/obo/EMPTY_0000063
http://purl.obolibrary.org/obo/EMPTY_00000160	http://purl.obolibrary.org/obo/EMPTY_0000064
http://purl.obolibrary.org/obo/EMPTY_00000161	http://purl.obolibrary.org/obo/EMPTY_0000065
http://purl.obolibrary.org/obo/EMPTY_00000162	http://purl.obolibrary.org/obo/EMPTY_0000066
